h6 	100.80 	98 	0 	196 	10.935 	9.800 	2.80e-03 	2.00e-03
h7 	132.83 	134 	0 	268 	14.952 	13.400 	2.80e-03 	2.00e-03
h8 	91.36 	91 	0 	182 	10.154 	9.100 	2.80e-03 	2.00e-03
h10 	93.37 	94 	0 	188 	10.488 	9.400 	2.80e-03 	2.00e-03
h11 	301.01 	304 	0 	608 	33.920 	30.400 	2.80e-03 	2.00e-03
i1 	287.19 	299 	0 	598 	33.362 	29.900 	2.80e-03 	2.00e-03
i2 	5035.23 	4643 	0 	9286 	518.059 	464.300 	2.80e-03 	2.00e-03
i3 	84.18 	83 	0 	166 	9.261 	8.300 	2.80e-03 	2.00e-03
i4 	1283.12 	1274 	0 	2548 	142.151 	127.400 	2.80e-03 	2.00e-03
i5 	811.93 	746 	0 	1492 	83.238 	74.600 	2.80e-03 	2.00e-03
i6 	1311.46 	1293 	0 	2586 	144.271 	129.300 	2.80e-03 	2.00e-03
i7 	50.17 	52 	0 	104 	5.802 	5.200 	2.80e-03 	2.00e-03
b2 	12549.28 	13424 	1 	26848 	1497.775 	1342.350 	2.80e-03 	2.00e-03
c8 	267.81 	260 	1 	520 	28.955 	25.950 	2.80e-03 	2.00e-03
c12 	205.89 	202 	1 	404 	22.483 	20.150 	2.80e-03 	2.00e-03
e2 	3817.71 	3853 	1 	7706 	429.856 	385.250 	2.80e-03 	2.00e-03
g3 	10601.55 	10898 	1 	21796 	1215.927 	1089.750 	2.80e-03 	2.00e-03
h9 	101.06 	100 	1 	200 	11.102 	9.950 	2.80e-03 	2.00e-03
h12 	108.81 	116 	1 	232 	12.887 	11.550 	2.80e-03 	2.00e-03
h13 	182.00 	180 	1 	360 	20.028 	17.950 	2.80e-03 	2.00e-03
h14 	25.82 	25 	1 	50 	2.734 	2.450 	2.80e-03 	2.00e-03
