spsa 	iter: 37870, A: 10000, alpha: 0.602, gamma: 0.101
param 	value 	start 	min 	max 	c 	c_end 	r 	r_end
a74 	15.78 	15 	1 	30 	1.599 	1.450 	2.71e-03 	2.00e-03
a75 	4180.17 	4126 	1 	8252 	455.060 	412.550 	2.71e-03 	2.00e-03
a76 	980.00 	1037 	1 	2074 	114.330 	103.650 	2.71e-03 	2.00e-03
a77 	1026.60 	965 	1 	1930 	106.388 	96.450 	2.71e-03 	2.00e-03
a78 	918.76 	960 	1 	1920 	105.837 	95.950 	2.71e-03 	2.00e-03
a79 	1086.57 	1018 	1 	2036 	112.235 	101.750 	2.71e-03 	2.00e-03
a80 	301.55 	307 	1 	614 	33.808 	30.650 	2.71e-03 	2.00e-03
a81 	33808.28 	34112 	1 	68224 	3762.643 	3411.150 	2.71e-03 	2.00e-03
a83 	2714.43 	2355 	1 	4710 	259.711 	235.450 	2.71e-03 	2.00e-03
a84 	1073.77 	1141 	1 	2282 	125.802 	114.050 	2.71e-03 	2.00e-03
a85 	1191.45 	1087 	1 	2174 	119.846 	108.650 	2.71e-03 	2.00e-03
a86 	7.79 	8 	1 	16 	0.827 	0.750 	2.71e-03 	2.00e-03
a87 	1129.66 	990 	1 	1980 	109.146 	98.950 	2.71e-03 	2.00e-03
a88 	2.96 	3 	1 	6 	0.276 	0.250 	2.71e-03 	2.00e-03
a89 	979.61 	940 	1 	1880 	103.631 	93.950 	2.71e-03 	2.00e-03
a90 	896.22 	887 	1 	1774 	97.785 	88.650 	2.71e-03 	2.00e-03
a91 	2040.69 	1960 	1 	3920 	216.141 	195.950 	2.71e-03 	2.00e-03
a92 	7.06 	7 	1 	14 	0.717 	0.650 	2.71e-03 	2.00e-03
a93 	4602.18 	4666 	1 	9332 	514.624 	466.550 	2.71e-03 	2.00e-03
a94 	4117.96 	3874 	1 	7748 	427.263 	387.350 	2.71e-03 	2.00e-03
a95 	1571.53 	1451 	1 	2902 	159.996 	145.050 	2.71e-03 	2.00e-03
a96 	40.64 	40 	1 	80 	4.357 	3.950 	2.71e-03 	2.00e-03
a97 	9.33 	10 	1 	20 	1.048 	0.950 	2.71e-03 	2.00e-03
a99 	2194.65 	2111 	1 	4222 	232.797 	211.050 	2.71e-03 	2.00e-03
a100 	3606.97 	3444 	1 	6888 	379.833 	344.350 	2.71e-03 	2.00e-03
a101 	15.41 	14 	1 	28 	1.489 	1.350 	2.71e-03 	2.00e-03
a102 	115.54 	118 	1 	236 	12.961 	11.750 	2.71e-03 	2.00e-03
a103 	4.88 	5 	1 	10 	0.496 	0.450 	2.71e-03 	2.00e-03
a104 	39.80 	37 	1 	74 	4.026 	3.650 	2.71e-03 	2.00e-03
a105 	187.99 	169 	1 	338 	18.586 	16.850 	2.71e-03 	2.00e-03
a106 	7.93 	8 	1 	16 	0.827 	0.750 	2.71e-03 	2.00e-03
a107 	143.92 	128 	1 	256 	14.064 	12.750 	2.71e-03 	2.00e-03
a108 	102.28 	102 	1 	204 	11.196 	10.150 	2.71e-03 	2.00e-03
a109 	119.27 	115 	1 	230 	12.630 	11.450 	2.71e-03 	2.00e-03
a110 	77.88 	82 	1 	164 	8.990 	8.150 	2.71e-03 	2.00e-03
a111 	99.08 	106 	1 	212 	11.637 	10.550 	2.71e-03 	2.00e-03
a112 	315.13 	318 	1 	636 	35.022 	31.750 	2.71e-03 	2.00e-03
a113 	492.37 	436 	1 	872 	48.037 	43.550 	2.71e-03 	2.00e-03
a114 	208.55 	207 	1 	414 	22.778 	20.650 	2.71e-03 	2.00e-03
a115 	1196.27 	1195 	1 	2390 	131.758 	119.450 	2.71e-03 	2.00e-03
a116 	328.19 	307 	1 	614 	33.808 	30.650 	2.71e-03 	2.00e-03
a117 	172.86 	165 	1 	330 	18.145 	16.450 	2.71e-03 	2.00e-03
a118 	113.82 	114 	1 	228 	12.520 	11.350 	2.71e-03 	2.00e-03
a119 	177.09 	163 	1 	326 	17.924 	16.250 	2.71e-03 	2.00e-03
a120 	153.58 	146 	1 	292 	16.049 	14.550 	2.71e-03 	2.00e-03
a121 	328.83 	301 	1 	602 	33.146 	30.050 	2.71e-03 	2.00e-03
a122 	4866.52 	5228 	1 	10456 	576.615 	522.750 	2.71e-03 	2.00e-03
a123 	76.40 	80 	1 	160 	8.769 	7.950 	2.71e-03 	2.00e-03
a124 	762.23 	768 	1 	1536 	84.658 	76.750 	2.71e-03 	2.00e-03
a125 	107.61 	108 	1 	216 	11.858 	10.750 	2.71e-03 	2.00e-03
a126 	1163.35 	1168 	1 	2336 	128.780 	116.750 	2.71e-03 	2.00e-03
a127 	1162.70 	1216 	1 	2432 	134.075 	121.550 	2.71e-03 	2.00e-03
a128 	1132.46 	1062 	1 	2124 	117.088 	106.150 	2.71e-03 	2.00e-03
a129 	1315.08 	1272 	1 	2544 	140.252 	127.150 	2.71e-03 	2.00e-03
a130 	967.13 	966 	1 	1932 	106.499 	96.550 	2.71e-03 	2.00e-03
a131 	1218.37 	1205 	1 	2410 	132.861 	120.450 	2.71e-03 	2.00e-03
a132 	1075.39 	1025 	1 	2050 	113.007 	102.450 	2.71e-03 	2.00e-03
a133 	656.00 	621 	1 	1242 	68.444 	62.050 	2.71e-03 	2.00e-03
a134 	345.77 	325 	1 	650 	35.794 	32.450 	2.71e-03 	2.00e-03
a135 	496.53 	512 	1 	1024 	56.421 	51.150 	2.71e-03 	2.00e-03
a136 	481.13 	534 	1 	1068 	58.847 	53.350 	2.71e-03 	2.00e-03
a137 	864.38 	879 	1 	1758 	96.902 	87.850 	2.71e-03 	2.00e-03
a138 	908.32 	888 	1 	1776 	97.895 	88.750 	2.71e-03 	2.00e-03
a139 	731.86 	634 	1 	1268 	69.878 	63.350 	2.71e-03 	2.00e-03
a140 	241690.40 	262144 	1 	524288 	28915.482 	26214.300 	2.71e-03 	2.00e-03
a141 	385.53 	394 	1 	788 	43.405 	39.350 	2.71e-03 	2.00e-03
a142 	290.31 	287 	1 	574 	31.602 	28.650 	2.71e-03 	2.00e-03
a143 	239.22 	249 	1 	498 	27.411 	24.850 	2.71e-03 	2.00e-03
a144 	101.94 	99 	1 	198 	10.865 	9.850 	2.71e-03 	2.00e-03
a145 	270790.15 	262144 	1 	524288 	28915.482 	26214.300 	2.71e-03 	2.00e-03
a146 	262861.08 	262144 	1 	524288 	28915.482 	26214.300 	2.71e-03 	2.00e-03
